Crop,Asset,Best_Correlation,Timing,Sync_Corr,Lag_1W_Corr,Lag_1M_Corr
花椰菜,Commodity Index,0.1692,Leading (1 Month),0.0715,0.1368,0.1692
花椰菜,Oil (Cost),-0.1545,Synchronized,-0.1545,-0.1027,-0.152
花椰菜,Taiwan Weighted,0.1506,Synchronized,0.1506,0.1043,-0.0077
玉米筍,Oil (Cost),0.7534,Leading (1 Month),0.593,0.636,0.7534
玉米筍,USD/TWD,0.6794,Synchronized,0.6794,0.648,0.4424
玉米筍,Gold,-0.678,Synchronized,-0.678,-0.6655,-0.6568
玉米筍,Agri-Business ETF,-0.5005,Synchronized,-0.5005,-0.4603,-0.3476
玉米筍,Consumer Staples,-0.3576,Leading (1 Month),0.0842,0.001,-0.3576
玉米筍,Gas (Fertilizer),0.2999,Leading (1 Month),-0.0635,-0.0328,0.2999
玉米筍,Commodity Index,-0.222,Synchronized,-0.222,-0.1012,0.1338
玉米筍,Taiwan Weighted,-0.1723,Synchronized,-0.1723,-0.1142,0.0936
番茄,Gas (Fertilizer),-0.5258,Leading (1 Month),-0.1656,-0.249,-0.5258
番茄,Taiwan Weighted,0.5007,Synchronized,0.5007,0.4938,0.494
番茄,Consumer Staples,-0.3377,Synchronized,-0.3377,-0.2707,0.0887
番茄,Agri-Business ETF,0.3369,Leading (1 Month),0.0215,0.0925,0.3369
番茄,USD/TWD,-0.2981,Leading (1 Month),0.039,-0.0334,-0.2981
番茄,Gold,0.2096,Leading (1 Month),-0.004,0.0192,0.2096
番茄,Oil (Cost),-0.1716,Leading (1 Month),0.0936,0.0591,-0.1716
番茄,Commodity Index,0.086,Synchronized,0.086,0.0827,0.0408
